name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
Catholic College Sale,Sale,35,13,198,134,28,74,100,NA,97,100,29,7.1,212,-1,-1,-41,12,-14,-2,0,NA,2,0,-1,-1.5,-49
Catholic College Wodonga,Wodonga,48,17,219,139,40,58,99,3,94,83,28,3.4,308,7,4,-38,-46,-5,-8,1,-2,-3,0,-1,-0.3,-42
Catholic Ladies College,Eltham,42,17,260,82,18,93,100,18,100,96,32,9.1,103,8,3,54,1,-1,-6,0,12,1,1,1,3.6,51
Catholic Regional College,St Albans,3,14,13,40,NA,NA,NA,NA,79,NA,NA,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catholic Regional College,Keilor North,3,14,16,137,NA,NA,NA,NA,89,NA,NA,NA,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catholic Regional College,Caroline Springs,2,13,4,37,14,NA,NA,NA,96,95,NA,NA,543,1,1,NA,7,0,NA,NA,NA,1,-4,NA,NA,-4
Catholic Regional College,Sydenham,75,37,688,523,140,84,99,4,84,83,29,4.3,236,4,-1,51,24,-8,-5,-1,-2,-2,0,-1,0.3,-36
Catholic Regional College,Melton West,56,31,193,192,60,83,100,1,88,93,29,1.4,271,11,0,-22,20,17,6,1,0,-7,-2,1,-0.4,57
Caulfield Grammar School,Wheelers Hill,39,7,272,48,NA,97,100,38,96,NA,35,24,24,-6,-2,5,-4,NA,0,0,9,-3,NA,1,-1.2,17
Caulfield Grammar School,St Kilda East,51,13,412,306,NA,98,100,27,92,NA,34,22.8,39,2,3,7,6,NA,0,0,-3,-6,NA,-1,-2.9,-11
Centre for Adult Education,Melbourne,31,6,175,8,Less than 4,33,84,NA,50,ID,25,1.2,463,-11,-4,-63,-10,NA,-1,3,NA,-28,NA,0,-0.7,-4
Chaffey Secondary College,Mildura,1,6,Less than 4,16,13,NA,ID,NA,56,24,ID,ID,544,0,-3,NA,-45,-4,NA,NA,NA,2,-52,NA,NA,-4
Chairo Christian School,Drouin,52,26,153,60,26,82,100,2,93,86,29,5.8,220,13,0,7,-6,4,-1,0,NA,4,-4,0,1,24
Charles La Trobe P-12 College,Preston,22,24,22,79,187,NA,NA,NA,58,39,NA,NA,545,-1,-7,-10,-3,30,NA,NA,NA,12,4,NA,NA,-4
Charles La Trobe P-12 College,Macleod West,29,16,54,23,NA,98,98,4,87,NA,25,1,465,1,9,12,11,NA,9,6,2,-2,NA,-2,1,-60
Charlton College,Charlton,25,17,27,29,21,100,100,NA,70,84,31,8.6,132,7,0,5,-10,-7,14,0,NA,-6,-4,-1,0.5,-25
Cheltenham Secondary College,Cheltenham,62,31,226,221,46,92,99,8,76,83,28,4.6,285,8,1,0,104,5,-3,0,3,-10,5,-1,-1.6,-61
Chisholm Institute,Frankston,33,36,114,185,173,53,83,NA,79,78,24,0.7,493,-2,-3,14,27,23,3,1,NA,0,5,-1,0.7,-13
Chisholm Institute of TAFE,Dandenong,42,24,209,237,247,37,87,NA,83,77,20,0.6,532,-1,-6,17,-240,-237,-7,9,NA,15,10,-1,-0.2,-4
Christian Brothers' College,St Kilda East,39,18,108,57,36,87,100,3,91,97,31,6.7,148,-3,-3,21,9,7,-3,2,1,2,1,1,1.6,44
Christian College Institute,Waurn Ponds,60,26,283,64,25,79,98,3,84,90,32,7.8,114,6,3,19,3,-5,-8,-2,-3,-8,-4,1,-1.2,14
Cire Community School,Yarra Junction,5,10,4,56,104,NA,NA,NA,75,38,NA,NA,546,-1,0,-5,-10,12,NA,NA,NA,0,1,NA,NA,-4
Clonard College,Herne Hill,60,25,207,96,43,85,100,4,84,89,31,7.3,140,2,0,16,27,4,6,0,-5,-4,-6,1,2.4,53
Cobden Technical School,Cobden,19,14,45,36,28,85,100,NA,73,66,24,0,502,-10,-2,-23,1,-6,11,11,NA,-5,-18,2,0,19
Cobram Anglican Grammar School,Cobram,18,4,23,5,NA,77,100,NA,55,NA,25,4.5,450,5,2,1,NA,NA,-3,0,NA,NA,NA,-1,1.4,-33
Cobram Secondary College,Cobram,23,13,54,25,21,53,97,1,88,75,26,7,398,-16,-6,-33,-7,7,-16,-1,0,4,1,-1,4.6,-21
Coburg High School,Coburg,10,5,8,6,NA,100,100,NA,100,NA,33,3.3,79,0,NA,-2,NA,NA,37,0,NA,NA,NA,3,-4.7,87
Cohuna Secondary College,Cohuna,23,11,64,14,7,81,92,NA,89,85,28,5.2,282,-1,0,-1,-8,-2,2,-5,NA,-5,-15,1,0.9,73
Colac Secondary College,Colac,33,16,87,46,18,27,96,NA,79,66,23,0.5,517,-2,-2,8,-10,-1,-24,-2,NA,-3,-4,0,0.5,-5
Collingwood College,Collingwood,44,15,93,54,38,82,96,2,79,80,27,3,359,8,-6,20,-3,7,3,0,NA,14,23,1,-0.2,57
Copperfield College,Delahey,74,30,394,443,196,89,94,7,91,93,28,3.8,302,2,-1,31,70,17,-5,-3,1,4,2,-1,1.7,-22
Cornish College,Bangholme,43,21,99,37,NA,90,100,2,100,NA,30,7,176,-2,4,21,8,NA,7,0,1,0,NA,1,2.3,71
Corryong College,Corryong,26,7,44,38,12,64,100,2,69,63,28,2.5,320,3,0,6,-4,-1,-1,0,NA,-15,-29,-1,0.3,-42
Covenant College,Bell Post Hill,36,20,73,37,13,86,96,NA,82,73,31,9.5,128,4,9,-3,14,-1,12,-4,NA,-12,-10,0,2,15
Craigieburn Secondary College,Craigieburn,33,16,180,210,54,86,98,1,72,82,24,0.4,497,-2,5,1,-5,3,5,4,0,-8,-8,-2,-1.5,-71
Cranbourne East Sec College,Cranbourne East,60,44,193,154,142,78,93,NA,91,96,29,2.7,260,3,4,-1,24,15,2,0,NA,-6,16,1,-0.2,55
Cranbourne Secondary College,Cranbourne,48,31,202,195,136,83,90,NA,87,79,27,1.8,381,-1,-6,31,-35,11,4,-9,NA,2,-6,-1,-1.6,-77
Croydon Community School,Croydon,6,13,9,33,45,NA,NA,NA,80,78,NA,NA,547,0,-3,2,-3,2,NA,NA,NA,10,2,NA,NA,-4
Damascus College,Mount Clear,46,26,191,89,38,73,98,5,94,87,27,5.9,340,-3,-2,7,-5,6,0,-2,-1,2,-5,-1,0.2,-51
Dandenong High School,Dandenong,72,36,423,276,79,91,97,5,79,100,23,0.7,514,3,6,-14,18,-14,11,3,-2,8,41,-1,0.2,-19
Darul Ulum College of Victoria,Fawkner,14,NA,98,NA,NA,74,100,NA,NA,NA,29,2.7,261,1,NA,5,NA,NA,18,6,NA,NA,NA,2,1.4,137
Daylesford Secondary College,Daylesford,28,13,66,65,21,69,93,3,80,86,27,3.6,352,0,1,-9,5,4,-5,-5,1,-11,23,1,3.1,91
De La Salle College,Malvern,48,24,207,79,39,89,99,4,83,100,32,7.2,115,-1,3,-10,-20,6,-5,-1,-1,-8,0,2,0.8,64
Derrinallum P12 College,Derrinallum,9,NA,6,NA,NA,50,100,NA,NA,NA,28,0,332,-3,NA,1,NA,NA,-50,0,NA,NA,NA,-2,0,-120
Diamond Valley College,Diamond Creek,46,32,163,132,34,96,99,NA,73,100,27,3.2,358,3,9,-10,-23,-5,27,4,NA,-18,0,0,1.6,37
Diamond Valley Learn Centre,Greensborough,5,13,4,68,74,NA,NA,NA,72,72,NA,NA,548,-1,2,NA,3,2,NA,NA,NA,12,21,NA,NA,-4
Dimboola Memorial Sec College,Dimboola,17,13,29,26,18,55,73,NA,97,82,31,0,161,-2,5,8,9,-2,-27,-27,NA,-3,-8,-3,-13.1,-101
Distance Education Victoria,Thornbury,71,25,373,50,NA,40,85,1,96,NA,28,7.4,275,-9,-9,-31,-19,NA,-1,-4,-2,26,NA,0,3.5,25
Diversitat,Geelong,2,7,Less than 4,29,42,NA,ID,NA,46,52,ID,ID,549,-1,2,NA,-60,-48,NA,NA,NA,22,24,NA,NA,-4
Djerriwarrh Emp. & Edu. Servic.,Melton,2,4,Less than 4,15,26,NA,ID,NA,79,59,ID,ID,550,NA,2,NA,0,-3,NA,NA,NA,5,-25,NA,NA,-4
Donald High School,Donald,21,10,37,19,30,90,100,NA,87,93,28,3.8,303,-2,-3,3,-8,-9,11,0,NA,19,0,0,1.2,18
Doncaster Secondary College,Doncaster,57,26,353,43,33,84,100,19,78,92,29,5.3,225,12,3,25,11,6,-8,2,0,-20,-2,0,0.2,13
Donvale Christian College,Donvale,40,10,176,23,NA,91,100,14,92,NA,33,11.1,74,-2,-4,-19,-1,NA,1,0,8,10,NA,0,0.4,5
Dromana Secondary College,Dromana,47,28,211,156,116,77,100,5,97,100,30,4.8,195,3,1,28,30,11,1,1,-1,0,0,-2,-2.7,-84
Drouin Secondary College,Drouin,50,28,161,129,65,76,95,NA,98,85,28,3,314,2,3,-20,-13,-14,-7,-5,NA,-1,-9,1,0.8,71
